"2026-01-09 16:50:32,320 [INFO] Creating Python Virtual Environment at: /home/stuart/DWC/Plugins/pipInstall/venv"
"2026-01-09 16:50:43,121 [INFO] Checking for python module: blablablavla"
"2026-01-09 16:50:50,339 [INFO] Checking for python module: blablxxlavla"
"2026-01-09 16:50:57,651 [INFO] Checking for python module: argparse"
"2026-01-09 16:51:04,751 [INFO] Checking for python module: shlex"
"2026-01-09 16:51:04,752 [INFO] Checking for python module: sys"
"2026-01-09 16:51:04,752 [INFO] Checking for python module: os"
"2026-01-09 16:51:04,752 [INFO] Checking for python module: re"
"2026-01-09 16:51:11,461 [INFO] Checking for python module: datetime"
"2026-01-09 16:51:11,461 [INFO] Checking for python module: pyopenssl==20.0.1"
"2026-01-09 16:51:22,620 [INFO] Checking for python module: pygithub>=2"
"2026-01-09 16:51:36,884 [INFO] Checking for python module: time"
"2026-01-09 16:51:36,884 [INFO] Checking for python module: requests"
"2026-01-09 16:51:45,831 [INFO] Checking for python module: json"
"2026-01-09 16:51:52,652 [INFO] Checking for python module: signal"
"2026-01-09 16:51:52,652 [INFO] Checking for python module: ultralytics"
"2026-01-09 16:53:11,864 [INFO] -----------------------------------------------"
"2026-01-09 16:53:11,864 [INFO] The following modules were installed or updated:"
"2026-01-09 16:53:11,864 [INFO] Module "argparse" was installed or updated to version 1.1"
"2026-01-09 16:53:11,864 [INFO] Module "shlex" is a built-in."
"2026-01-09 16:53:11,864 [INFO] Module "sys" is a built-in."
"2026-01-09 16:53:11,864 [INFO] Module "os" is a built-in."
"2026-01-09 16:53:11,864 [INFO] Module "re" was not updated from version 2.2.1"
"2026-01-09 16:53:11,864 [INFO] Module "datetime" is a built-in."
"2026-01-09 16:53:11,864 [INFO] Module "pyopenssl" was installed or updated to version 20.0.1"
"2026-01-09 16:53:11,864 [INFO] Module "pygithub" was installed or updated to version 2.8.1"
"2026-01-09 16:53:11,864 [INFO] Module "time" is a built-in."
"2026-01-09 16:53:11,864 [INFO] Module "requests" was installed or updated to version 2.32.3"
"2026-01-09 16:53:11,864 [INFO] Module "json" was not updated from version 2.0.9"
"2026-01-09 16:53:11,864 [INFO] Module "signal" is a built-in."
"2026-01-09 16:53:11,864 [INFO] Module "ultralytics" was installed or updated to version 8.3.250"
"2026-01-09 16:53:11,864 [INFO] !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
"2026-01-09 16:53:11,864 [INFO] The following modules could not be installed:"
"2026-01-09 16:53:11,864 [INFO] "blablablavla""
"2026-01-09 16:53:11,864 [INFO] "blablxxlavla""
"2026-01-09 16:53:11,865 [INFO] !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
